0.1;0.3;yes
0.2;0.1;no
0.7;0.1;no
0.5;0.2;yes
0.1;0.8;yes
0.1;0.8;no
0.7;0;no
0.2;0.5;yes
0.8;0.1;yes
0.1;0.3;yes
0.2;0.1;no
0.7;0.1;yes
0.5;0.2;yes
0.4;0.2;yes
0.1;0.8;yes
0.8;0;no
0.2;0.5;no
0.2;0.5;yes
0.1;0.3;yes
0.2;0.1;no
0.7;0.1;no
0.5;0.2;no
0.7;0.5;yes
0.3;0.2;no
0.5;0;no
0.2;0.5;no
0.2;0.5;no
0.2;0.3;no
0.1;0.1;no
0.5;0.1;no
0.4;0.2;yes
0.1;0.8;no
0.1;0.8;no
0.7;0;no
0.2;0.5;no
0.6;0.2;no
0.1;0.3;yes
0.2;0.1;yes
0.7;0.1;no
0.5;0.6;yes
0.4;0.2;no
0.1;0.7;yes
0.5;0;no
0.2;0.5;no
0.2;0.5;no
0.1;0.3;no
0.2;0.1;no
0.5;0.1;yes
0.5;0.2;yes
0.7;0.1;no
0.1;0.8;no
0.5;0;no
0.7;0.1;no
0.2;0.5;no
